ID,Name,Lat,Lon,Type
321,"0, Swami Vivekanand Marg, Jethava Nagar, Kandivali West",19.20657952,72.85007324,
322,"700, Sector 3 and 4 Main Rd, Sector 3, Kopar Khairane",19.10695981,73.00272339,
323,Palm Beach Rd,19.01433497,73.00843877,
324,Lake Side Rd,19.12515787,72.91098641,
325,Cotton Ave,18.99268859,72.84906977,
326,B,19.14642081,72.82097183,
327,"Plot No. 13, Mata Amritanandamayi Marg, Sector 22, Nerul",19.03203695,73.01680365,
328,Green Park Road,19.14835757,73.03886883,
329,Bhiwandi - Wada Rd,19.2352136,73.01413436,
330,Raj Kutir,19.07326764,72.8623836,
331,"0, Nandivili Road, Omsai Chawl, Bhopar Goan",19.19959594,73.07180592,
332,Pipe Line Rd,19.14826603,72.91925803,
333,"WING-B, Gaondevi Mandir Rd, Indralok Phase 4, Ranuja Ramdev Park, Bhayandar East",19.30803195,72.8692235,
334,"0, Royal Palms Rd, Royal Palms Estate, Aarey Colony, Goregaon East",19.14932795,72.89538633,
335,Shivshahi Prakalp Tower Si,19.16783716,72.88046542,
336,Manori - Gorai Rd,19.21242763,72.78021751,
337,Agasan Gaon Rd,19.17861957,73.06220567,
338,"D-WING, Shailendra Vidyalay Marg, Shiv Shakti Complex, Borivali East",19.24550862,72.8623487,
339,Bhopar Dongri Rd,19.19134815,73.08110442,
340,"100/A, Rd Number 2, Hanuman Nagar, Kannamwar Nagar I, Vikhroli East",19.11687626,72.94374009,
341,"C-311, Pimpripada Rd, Pimpripada, Malad East",19.17867604,72.87234589,
342,"Wing-B, Rajendra Kamble Rd, Siddharath Nagar, Vakola, Santacruz East",19.07619741,72.85390841,
343,"500-B, Bhandup Village Rd, Subhash Nagar, Bhandup West",19.15267167,72.93921879,
344,Bhagya Shakha Bungalow,19.24451451,72.98368085,
345,Maharastra Rd,19.05334051,72.84057151,
346,Ghodbunder Rd,19.27554496,72.91611461,
347,"F-9, Bipex Rd, Simplex, Sector 5, Jijamata Nagar, Sector 7, Ghansoli",19.11696425,72.99625635,
348,"300, 7, Mumbai - Pune Expy, Sector 4B, Asudgaon, Khanda Colony, Panvel",19.01854394,73.10896008,
349,Jari Mari Mandir Rd,19.26516645,72.89445635,
350,"200, Khot Kuwa Rd, Malkani Estate, Kasam Baug, Malad East",19.18524032,72.85771546,
351,Airside Rd,19.09307441,72.85655634,
